codigo;descripcion;familia;rubro;subrubro;proveedor;costo;iva;ganancia;moneda;codigo barra;ubicación;stock
101170206454040;RAMAL SIMPLE A 45º  Ø 40x40 MHH JUNTA ELÁSTICA *NUEVO*;;;;;1856;21;35;$;;;
101170206456363;RAMAL SIMPLE A 45º  Ø 63x63 MHH JUNTA ELÁSTICA *NUEVO*;;;;;5033;21;35;$;;;
101170206451111;RAMAL SIMPLE A 45º  Ø 110x110 MHH JUNTA ELÁSTICA;;;;;10643;21;35;$;;;
101170206451163;RAMAL SIMPLE A 45º  Ø 110x63 MHH JUNTA ELÁSTICA;;;;;8028;21;35;$;;;
101170206904040;RAMAL SIMPLE A 90º  Ø 40x40 MHH JUNTA ELÁSTICA *NUEVO*;;;;;1763;21;35;$;;;
101170206906363;RAMAL SIMPLE A 90º  Ø 63x63 MHH JUNTA ELÁSTICA *NUEVO*;;;;;4790;21;35;$;;;
101170206901111;RAMAL SIMPLE A 90º  Ø 110x110 MHH JUNTA ELÁSTICA;;;;;8496;21;35;$;;;
101170206901163;RAMAL SIMPLE A 90º  Ø 110x63 MHH JUNTA ELÁSTICA *NUEVO*;;;;;6707;21;35;$;;;
101170207636000;CAÑO CAMARA Ø110 MH JUNTA ELÁSTICA;;;;;10611;21;35;$;;;
101170207635000;BOCA DE ACCESO DE COCINA (3 ENTRADAS) Ø 63x50 JUNTA ELÁSTICA;;;;;10362;21;35;$;;;
101170207634003;PILETA DE PATIO CON SIFÓN DESMONTABLE (3 ENTRADAS) Ø 40x63 JUNTA ELÁSTICA;;;;;11857;21;35;$;;;
101170207634005;PILETA DE PATIO CON SIFÓN DESMONTABLE (5 ENTRADAS) Ø 40x63 JUNTA ELÁSTICA;;;;;13649;21;35;$;;;
101170207021212;PORTA REJILLA CON REJILLA DE ACERO INOXIDABLE + REJILLA ANTI-INSECTOS 12x12 Ø 110  ;;;;;8330;21;35;$;;;
101170207010808;PORTA REJILLA CON REJILLA DE ACERO INOXIDABLE 8 x 8 Ø 40;;;;;6616;21;35;$;;;
101170207011212;PORTA REJILLA CON TAPA CIEGA DE ACERO INOXIDABLE 12x12 Ø 110;;;;;8330;21;35;$;;;
101170207630001;REPUESTO SIFÓN PARA PILETA DE PATIO;;;;;2145;21;35;$;;;
101170207010001;REPUESTO REJILLA ANTI-INSECTOS;;;;;900;21;35;$;;;
101170207010002;REPUESTO REJILLA DE ACERO INOXIDABLE 12x12;;;;;5535;21;35;$;;;
101170207010003;REPUESTO REJILLA DE ACERO INOXIDABLE 8x8 ;;;;;3724;21;35;$;;;
101170207010004;REPUESTO TAPA CIEGA DE ACERO INOXIDABLE 12x12;;;;;4601;21;35;$;;;
101170207630002;SOLUCIÓN LUBRICANTE EN AEROSOL x 400cc;;;;;19097;21;35;$;;;
101130212532004;TUBO PN 12 Ø 32 X 4 Mts;;;;;12984;21;35;$;;;
101130212540004;TUBO PN 12 Ø 40 X 4 Mts;;;;;21935;21;35;$;;;
101130212550004;TUBO PN 12 Ø 50 X 4 Mts;;;;;28869;21;35;$;;;
101130212563004;TUBO PN 12 Ø 63 X 4 Mts;;;;;43600;21;35;$;;;
101130212575004;TUBO PN 12 Ø 75 X 4 Mts;;;;;61717;21;35;$;;;
101130212590004;TUBO PN 12 Ø 90 X 4 Mts;;;;;90763;21;35;$;;;
101130212511004;TUBO PN 12 Ø 110 X 4 Mts;;;;;135333;21;35;$;;;
101130220020004;TUBO PN 20 Ø 20 X 4 Mts;;;;;6361;21;35;$;;;
101130220025004;TUBO PN 20 Ø 25 X 4 Mts;;;;;9574;21;35;$;;;
101130220032004;TUBO PN 20 Ø 32 X 4 Mts;;;;;15547;21;35;$;;;
101130220040004;TUBO PN 20 Ø 40 X 4 Mts;;;;;25182;21;35;$;;;
101130220050004;TUBO PN 20 Ø 50 X 4 Mts;;;;;36642;21;35;$;;;
101130220063004;TUBO PN 20 Ø 63 X 4 Mts;;;;;63079;21;35;$;;;
101130220075004;TUBO PN 20 Ø 75 X 4 Mts;;;;;89674;21;35;$;;;
101130220090004;TUBO PN 20 Ø 90 X 4 Mts;;;;;133686;21;35;$;;;
101130220110004;TUBO PN 20 Ø 110 X 4 Mts;;;;;196873;21;35;$;;;
101130320000001;TUBOCOBERTOR PN 20 Ø 20 X 4 Mts;;;;;10582;21;35;$;;;
101130325000001;TUBOCOBERTOR PN 20 Ø 25 X 4 Mts;;;;;15376;21;35;$;;;
101130332000001;TUBOCOBERTOR PN 20 Ø 32 X 4 Mts;;;;;23895;21;35;$;;;
101203105200000;CODO A 90º  Ø 20  ;;;;;351;21;35;$;;;
101203105250000;CODO A 90º  Ø 25  ;;;;;551;21;35;$;;;
101203105320000;CODO A 90º  Ø 32  ;;;;;947;21;35;$;;;
101203105400000;CODO A 90º  Ø 40  ;;;;;2020;21;35;$;;;
101203105500000;CODO A 90º  Ø 50  ;;;;;3864;21;35;$;;;
101203105630000;CODO A 90º  Ø 63  ;;;;;6620;21;35;$;;;
101203105750000;CODO A 90º  Ø 75  ;;;;;0;21;35;$;;;
101203105900000;CODO A 90º  Ø 90  ;;;;;0;21;35;$;;;
101203104200000;CODO A 45º  Ø 20  ;;;;;386;21;35;$;;;
101203104250000;CODO A 45º  Ø 25  ;;;;;617;21;35;$;;;
101203104320000;CODO A 45º  Ø 32  ;;;;;1157;21;35;$;;;
101203104400000;CODO A 45º  Ø 40 - PROXIMAMENTE (MAYO 2026)  ;;;;;0;21;35;$;;;
101203104500000;CODO A 45º  Ø 50 - PROXIMAMENTE (MAYO 2026)  ;;;;;0;21;35;$;;;
101203104630000;CODO A 45º  Ø 63 - PROXIMAMENTE (MAYO 2026)  ;;;;;0;21;35;$;;;
101203104750000;CODO A 45º  Ø 75 *NUEVO*;;;;;18422;21;35;$;;;
101203104900000;CODO A 45º  Ø 90 *NUEVO*;;;;;36596;21;35;$;;;
101203108200000;CUPLA UNION  Ø 20  ;;;;;273;21;35;$;;;
101203108250000;CUPLA UNION  Ø 25  ;;;;;442;21;35;$;;;
101203108320000;CUPLA UNION  Ø 32  ;;;;;624;21;35;$;;;
101203108400000;CUPLA UNION  Ø 40  ;;;;;1178;21;35;$;;;
101203108500000;CUPLA UNION  Ø 50  ;;;;;2349;21;35;$;;;
101203108630000;CUPLA UNION  Ø 63  ;;;;;4769;21;35;$;;;
101203108750000;CUPLA UNION  Ø 75  ;;;;;0;21;35;$;;;
101203108900000;CUPLA UNION  Ø 90  ;;;;;0;21;35;$;;;
101203109202000;BUJE DE REDUCCION  Ø 25x20  ;;;;;442;21;35;$;;;
101203109322000;BUJE DE REDUCCION  Ø 32x20  ;;;;;652;21;35;$;;;
101203109322500;BUJE DE REDUCCION  Ø 32x25  ;;;;;652;21;35;$;;;
101203109402500;BUJE DE REDUCCION  Ø 40x25  ;;;;;1017;21;35;$;;;
101203109403200;BUJE DE REDUCCION  Ø 40x32  ;;;;;1017;21;35;$;;;
101203109502500;BUJE DE REDUCCION  Ø 50x25  ;;;;;0;21;35;$;;;
101203109503200;BUJE DE REDUCCION  Ø 50x32  ;;;;;1893;21;35;$;;;
101203109504000;BUJE DE REDUCCION  Ø 50x40  ;;;;;2034;21;35;$;;;
101203109633200;BUJE DE REDUCCION  Ø 63x32  ;;;;;2560;21;35;$;;;
101203109634000;BUJE DE REDUCCION  Ø 63x40  ;;;;;3226;21;35;$;;;
101203109635000;BUJE DE REDUCCION  Ø 63x50  ;;;;;3647;21;35;$;;;
101203112200000;TAPA  Ø 20  ;;;;;266;21;35;$;;;
101203112250000;TAPA  Ø 25  ;;;;;400;21;35;$;;;
101203112320000;TAPA  Ø 32  ;;;;;491;21;35;$;;;
101203112400000;TAPA  Ø 40  ;;;;;1297;21;35;$;;;
101203112500000;TAPA  Ø 50  ;;;;;2034;21;35;$;;;
101203112630000;TAPA  Ø 63 *NUEVO*;;;;;5416;21;35;$;;;
101203112750000;TAPA  Ø 75  ;;;;;0;21;35;$;;;
101203112900000;TAPA  Ø 90  ;;;;;0;21;35;$;;;
101203116200000;TEE  Ø 20  ;;;;;561;21;35;$;;;
101203116250000;TEE  Ø 25  ;;;;;947;21;35;$;;;
101203116320000;TEE  Ø 32  ;;;;;1438;21;35;$;;;
101203116400000;TEE  Ø 40  ;;;;;2539;21;35;$;;;
101203116500000;TEE  Ø 50;;;;;5028;21;35;$;;;
101203116630000;TEE  Ø 63;;;;;8191;21;35;$;;;
101203116750000;TEE  Ø 75;;;;;0;21;35;$;;;
101203116900000;TEE  Ø 90;;;;;0;21;35;$;;;
101203116252025;TEE RED. CENTRAL  Ø 25 x 20 x 25  ;;;;;898;21;35;$;;;
101203116322032;TEE RED. CENTRAL  Ø 32 x 20 x 32  ;;;;;1683;21;35;$;;;
101203116322532;TEE RED. CENTRAL  Ø 32 x 25 x 32  ;;;;;1473;21;35;$;;;
101203116402040;TEE RED. CENTRAL  Ø 40 x 20 x 40  ;;;;;0;21;35;$;;;
101203116402540;TEE RED. CENTRAL  Ø 40 x 25 x 40  ;;;;;0;21;35;$;;;
101203116403240;TEE RED. CENTRAL  Ø 40 x 32 x 40  ;;;;;2455;21;35;$;;;
101203116502550;TEE RED. CENTRAL  Ø 50 x 25x 50  ;;;;;4067;21;35;$;;;
101203116503250;TEE RED. CENTRAL  Ø 50 x 32 x 50  ;;;;;4138;21;35;$;;;
101203116504050;TEE RED. CENTRAL  Ø 50 x 40 x 50  ;;;;;4418;21;35;$;;;
101203116634063;TEE RED. CENTRAL  Ø 63 x 40 x 63 *NUEVO*;;;;;8731;21;35;$;;;
101203116635063;TEE RED. CENTRAL  Ø 63 x 50 x 63  ;;;;;9033;21;35;$;;;
101203116754075;TEE RED. CENTRAL  Ø 75 x 40 x 75  ;;;;;0;21;35;$;;;
101203116755075;TEE RED. CENTRAL  Ø 75 x 50 x 75  ;;;;;0;21;35;$;;;
101203116756375;TEE RED. CENTRAL  Ø 75 x 63 x 75  ;;;;;0;21;35;$;;;
101203125402040;COLECTOR MODULAR MHH  Ø 40 x 20;;;;;0;21;35;$;;;
101203125402540;COLECTOR MODULAR MHH  Ø 40 x 25;;;;;0;21;35;$;;;
101203125502550;COLECTOR MODULAR MHH  Ø 50 x 25;;;;;11220;21;35;$;;;
101203125503250;COLECTOR MODULAR MHH  Ø 50 x 32;;;;;10169;21;35;$;;;
101203102200000;CURVA A 90º  Ø 20  ;;;;;1368;21;35;$;;;
101203102250000;CURVA A 90º  Ø 25  ;;;;;1823;21;35;$;;;
101203102320000;CURVA A 90º  Ø 32  ;;;;;3016;21;35;$;;;
101203102400000;CURVA A 90º  Ø 40  ;;;;;0;21;35;$;;;
101203102500000;CURVA A 90º  Ø 50  ;;;;;0;21;35;$;;;
101203102630000;CURVA A 90º  Ø 63  ;;;;;0;21;35;$;;;
101203140200000;SOBREPASO FORMADA Ø 20  ;;;;;1718;21;35;$;;;
101203140250000;SOBREPASO FORMADA Ø 25  ;;;;;2472;21;35;$;;;
101203140320000;SOBREPASO FORMADA Ø 32  ;;;;;3857;21;35;$;;;
101203140200001;SOBREPASO CORTA INYECTADA Ø 20 HH *NUEVO*;;;;;1372;21;35;$;;;
101203140250001;SOBREPASO CORTA INYECTADA Ø 25 HH *NUEVO*;;;;;2011;21;35;$;;;
101203140320001;SOBREPASO CORTA INYECTADA Ø 32 HH *NUEVO*;;;;;3013;21;35;$;;;
101203106201200;"CODO A 90º ROSCA M  Ø 20 x ½""";;;;;3857;21;35;$;;;
101203106251200;"CODO A 90º ROSCA M  Ø 25 x ½""";;;;;4488;21;35;$;;;
101203106253400;"CODO A 90º ROSCA M  Ø 25 x ¾""";;;;;5189;21;35;$;;;
101203106323400;"CODO A 90º ROSCA M  Ø 32 x ¾""";;;;;7995;21;35;$;;;
101203106321000;"CODO A 90º ROSCA M  Ø 32 x 1""";;;;;8415;21;35;$;;;
101203107201200;"CODO A 90º ROSCA H  Ø 20 x ½""";;;;;2805;21;35;$;;;
101203107251200;"CODO A 90º ROSCA H  Ø 25 x ½""";;;;;3857;21;35;$;;;
101203107253400;"CODO A 90º ROSCA H  Ø 25 x ¾""";;;;;3927;21;35;$;;;
101203107323400;"CODO A 90º ROSCA H  Ø 32 x ¾""";;;;;6438;21;35;$;;;
101203107321000;"CODO A 90º ROSCA H  Ø 32 x 1"" ";;;;;7413;21;35;$;;;
101203107201202;"CODO A 90º ROSCA H  Ø 20 x ½""   SINTETICA";;;;;1592;21;35;$;;;
101203107251202;"CODO A 90º ROSCA H  Ø 25 x ½""  SINTETICA";;;;;2083;21;35;$;;;
101203107253402;"CODO A 90º ROSCA H  Ø 25 x ¾""   SINTETICA";;;;;2335;21;35;$;;;
101203117201200;"TEE ROSCA M  Ø 20 x ½""";;;;;4418;21;35;$;;;
101203117251200;"TEE ROSCA M  Ø 25 x ½""";;;;;5470;21;35;$;;;
101203117253400;"TEE ROSCA M  Ø 25 x ¾""";;;;;6312;21;35;$;;;
101203117323400;"TEE ROSCA M  Ø 32 x ¾""";;;;;7013;21;35;$;;;
101203117321000;"TEE ROSCA M  Ø 32 x 1""";;;;;11571;21;35;$;;;
101203118201200;"TEE ROSCA H  Ø 20 x ½""";;;;;3682;21;35;$;;;
101203118251200;"TEE ROSCA H  Ø 25 x ½""";;;;;4348;21;35;$;;;
101203118253400;"TEE ROSCA H  Ø 25 x ¾""";;;;;5680;21;35;$;;;
101203118323400;"TEE ROSCA H  Ø 32 x ¾""";;;;;6662;21;35;$;;;
101203118321000;"TEE ROSCA H  Ø 32 x 1""";;;;;8766;21;35;$;;;
101203110201200;"CUPLA ROSCA M  Ø 20 x ½""";;;;;3366;21;35;$;;;
101203110203400;"CUPLA ROSCA M  Ø 20 x ¾"" *NUEVO*";;;;;5000;21;35;$;;;
101203110251200;"CUPLA ROSCA M  Ø 25 x ½""";;;;;3717;21;35;$;;;
101203110253400;"CUPLA ROSCA M  Ø 25 x ¾""";;;;;4348;21;35;$;;;
101203110323400;"CUPLA ROSCA M  Ø 32 x ¾""";;;;;7504;21;35;$;;;
101203110321000;"CUPLA ROSCA M  Ø 32 x 1""";;;;;8906;21;35;$;;;
101203110401140;"CUPLA ROSCA M  Ø 40 x 1¼""";;;;;17181;21;35;$;;;
101203110501120;"CUPLA ROSCA M  Ø 50 x 1½""";;;;;23142;21;35;$;;;
101203110632000;"CUPLA ROSCA M  Ø 63 x 2""";;;;;35345;21;35;$;;;
101203110752120;"CUPLA ROSCA M  Ø 75 x 2½""";;;;;0;21;35;$;;;
101203111203800;"CUPLA ROSCA H  Ø 20 x ?""";;;;;2735;21;35;$;;;
101203111201200;"CUPLA ROSCA H  Ø 20 x ½""";;;;;2700;21;35;$;;;
101203111203400;"CUPLA ROSCA H  Ø 20 x ¾"" *NUEVO*";;;;;4516;21;35;$;;;
101203111251200;"CUPLA ROSCA H  Ø 25 x ½""";;;;;3156;21;35;$;;;
